MenuItem,CostPrice,SellingPrice,NumberSold
Avocado Chicken Bowl, 5.00, 12.50, 150
Vegan Kebab Bowl, 4.75, 11.75, 120
Thai Lentil Soup, 3.25, 8.50, 90
Indian Curry Bowl, 5.25, 12.00, 110
Burrito Bowl, 4.50, 10.25, 130
Mexican Wrap, 4.00, 9.75, 140
California Salad, 4.75, 11.50, 100
Noodle Soup, 3.50, 9.00, 85
Vegan Protein Bowl, 5.00, 12.75, 125
Mediterranean Salad, 4.25, 10.75, 95
Lentil and Spinach Wrap, 3.75, 9.25, 105
Tomato Basil Soup, 3.00, 8.25, 80
Japanese Teriyaki Bowl, 5.50, 13.25, 115
Greek Gyro Wrap, 4.25, 10.50, 105
Classic Caesar Salad, 4.50, 11.25, 95
Pho Noodle Soup, 3.75, 9.50, 90
Mango Curry Bowl, 5.75, 13.50, 110
Tex-Mex Burrito, 4.75, 11.75, 120
BBQ Pulled Pork Bowl, 5.25, 12.50, 105
Sushi Rice Bowl, 5.50, 13.00, 100
Mushroom Stroganoff, 4.00, 10.00, 125
Sesame Tofu Wrap, 4.25, 10.75, 100
Spinach and Artichoke Soup, 3.25, 8.75, 85
Moroccan Tagine Bowl, 5.00, 12.75, 110
Korean Bibimbap, 5.25, 12.25, 115
Caprese Salad, 4.25, 10.50, 105
Banh Mi Sandwich, 4.00, 9.50, 95
Goulash Soup, 3.75, 9.25, 100
Tandoori Chicken Bowl, 5.50, 13.00, 120
Cobb Salad, 4.50, 11.25, 110
Pasta Primavera, 4.25, 10.75, 105
Black Bean and Corn Burrito, 4.00, 9.75, 95
Tom Yum Soup, 3.25, 8.50, 90
Chili Con Carne, 5.00, 12.25, 100
Szechuan Tofu Bowl, 5.25, 12.50, 110
Greek Moussaka, 4.75, 11.75, 105
Thai Green Curry, 5.75, 13.25, 115
Chicken Shawarma Wrap, 4.50, 11.00, 105
Vegetable Biryani, 4.75, 11.25, 95
